binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1,0.9.1,0.75.1,0.5.1,0.25.1,0.1.1,0.9,0.75,0.5,0.25,0.1
100,False,0.8625698324022346,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
100,True,1.205027932960894,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
400,False,0.8650837988826817,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
400,True,1.1460893854748606,1,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
20,False,0.7932203389830509,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
20,True,0.9947848761408083,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
100,False,0.8693611473272491,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
100,True,0.8985658409387224,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
400,False,0.917601043024772,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
400,True,0.9147327249022164,2,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
20,False,0.8455882352941176,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
20,True,1.050831202046036,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
100,False,0.7867647058823528,3,LS_KDEx_MLP,9.0,1.0,0.9,17.0_110.0,bakery,,,,,,,,,,,,,,
