binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1,0.9,0.75,0.5,0.25,0.1
400,False,1.1691713181623011,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
400,True,1.229497638471447,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_O3,air,,,,,,,,,
20,False,0.9477972655710536,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
20,True,0.9887446485292084,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
100,False,1.038254384753487,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
100,True,0.98895180223726,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
400,False,1.0374948211572987,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
400,True,0.9877088799889516,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
20,False,0.9367324153330854,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
20,True,1.090509862299963,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
100,False,0.9210271678451806,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
100,True,0.997097134350577,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
400,False,0.9312244138444362,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
400,True,0.9671752884257536,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
20,False,0.9543828264758496,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
20,True,1.0460644007155635,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
100,False,0.946204957832865,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
100,True,0.9635190391004343,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
400,False,0.9689496549961668,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
400,True,0.925057500638896,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_1_max_PM10,air,,,,,,,,,
