"Longitude","Latitude","Elevation","Weekday","Month","Time","Land.Use_AGRICULTURAL","Land.Use_COMMERCIAL","Land.Use_FOREST","Land.Use_INDUSTRIAL","Land.Use_MILITARY RESERVATION","Land.Use_RESIDENTIAL","Location.Setting_RURAL","Location.Setting_SUBURBAN","Location.Setting_URBAN AND CENTER CITY"
-86.815,33.553056,180,5,1,365,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,1,368,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,1,371,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,1,374,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,1,377,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,1,380,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,1,383,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,1,386,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,1,389,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,1,392,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,1,395,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,2,398,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,2,401,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,2,404,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,2,407,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,2,410,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,2,413,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,3,449,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,3,452,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,10,1397,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,8,590,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,8,593,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,4,479,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,4,482,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,4,485,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,5,488,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,5,491,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,5,494,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,5,497,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,1,752,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,5,503,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,5,506,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,5,509,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,5,512,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,9,635,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,9,638,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,10,641,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,10,644,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,6,539,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,6,542,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,6,545,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,7,551,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,7,554,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,7,557,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,7,560,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,7,563,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,7,566,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,7,569,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,2,7,572,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,7,575,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,1,8,578,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,8,581,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,8,584,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,8,587,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,9,632,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,5,8,596,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,3,9,629,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,6,10,1010,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,4,10,1022,0,1,0,0,0,0,0,0,1
-86.815,33.553056,180,7,10,1025,0,1,0,0,0,0,0,0,1
